skills,experience,salary,location,job_interest,sector,education_level,job_id
"Safety Procedures, Plumbing, Blueprint Reading, Site Management, Carpentry",1,86850,Skikda,Construction,Construction,Master's,10243
"Accounting, Financial Analysis, Budgeting, Investment, Auditing",3,56918,Bejaia,Finance,Business,High School,10244
"Pest Control, Soil Testing, Irrigation, Tractor Operation, Crop Management, Agro-tech",11,98894,Ghardaia,Agriculture,Agriculture,High School,10245
"SolidWorks, Design, AutoCAD, MATLAB, Blueprint Reading, Project Management",12,54618,Chlef,Engineering,Engineering,Ingénieur,10246
"Security, Linux, Networking, Windows Server, Scripting, Virtualization",11,79576,Batna,System Administration,Information Technology,Bachelor's,10247
"Google Ads, SEO, Social Media, Content Creation, Copywriting, Branding",4,162525,Mostaganem,Marketing,Business,Doctorate,10248
"Graphic Design, Photoshop, 3D Modeling",4,88604,Annaba,Art & Design,Creative,Master's,10249
"SEO, Copywriting, Social Media",9,64862,Tipaza,Marketing,Business,Doctorate,10250
"Classroom Management, Mentoring, E-Learning, Assessment, Curriculum Design",9,168896,Biskra,Education,Education,No Formal Education,10251
"Assessment, E-Learning, Mentoring, Classroom Management, Curriculum Design, Teaching",2,109538,Sidi Bel Abbès,Education,Education,Ingénieur,10252
"Safety Procedures, Carpentry, Plumbing",3,97163,Tlemcen,Construction,Construction,No Formal Education,10253
"Google Ads, Copywriting, Content Creation",1,161820,Bordj Bou Arreridj,Marketing,Business,Ingénieur,10254
"Teaching, Curriculum Design, E-Learning, Assessment, Classroom Management",2,53470,Setif,Education,Education,Ingénieur,10255
"Plumbing, Site Management, Masonry, Safety Procedures, Carpentry, Blueprint Reading",1,154992,Biskra,Construction,Construction,Technical Diploma,10256
"Assessment, E-Learning, Classroom Management, Mentoring, Curriculum Design, Teaching",2,72467,Skikda,Education,Education,Technical Diploma,10257
"Fleet Management, Routing, Supply Chain, Warehouse Ops, Inventory Management",12,88891,Ouargla,Logistics,Supply Chain,Master's,10258
"Photoshop, Creativity, Graphic Design, UI/UX, Illustrator, 3D Modeling",11,77440,Sidi Bel Abbès,Art & Design,Creative,High School,10259
"Python, R, Pandas, Machine Learning",1,70436,Blida,Data Science,Information Technology,Master's,10260
"E-Learning, Assessment, Classroom Management, Mentoring",2,103060,Tipaza,Education,Education,Bachelor's,10261
"Curriculum Design, Classroom Management, Mentoring, E-Learning, Assessment",1,75471,Batna,Education,Education,Bachelor's,10262
"Legal Research, Case Management, Regulatory Compliance",8,44480,Setif,Legal,Legal,No Formal Education,10263
"Illustrator, Creativity, UI/UX",11,162406,Setif,Art & Design,Creative,Ingénieur,10264
"Machine Learning, Pandas, Statistics, SQL",7,112284,Skikda,Data Science,Information Technology,No Formal Education,10265
"Django, SQL, C++, Java",1,58240,Relizane,Software Engineering,Information Technology,Master's,10266
"Risk Management, Excel, Investment, Financial Analysis",2,100615,Tlemcen,Finance,Business,Technical Diploma,10267
"CSS, Node.js, Responsive Design",8,164764,Algiers,Web Development,Information Technology,Master's,10268
"Accounting, Financial Analysis, Investment, Risk Management, Budgeting, Auditing",2,85267,Constantine,Finance,Business,Technical Diploma,10269
"Litigation, Regulatory Compliance, Contracts, Case Management, Negotiation, Legal Research",6,153368,Tipaza,Legal,Legal,Bachelor's,10270
"Python, TensorFlow, Pandas, Statistics",4,124601,Bordj Bou Arreridj,Data Science,Information Technology,No Formal Education,10271
"Risk Management, Excel, Budgeting, Auditing, Accounting, Financial Analysis",15,137296,Mostaganem,Finance,Business,No Formal Education,10272
"SIEM, Penetration Testing, Network Security, Firewalls, Forensics",11,151493,Tlemcen,Cybersecurity,Information Technology,Master's,10273
"AutoCAD, SolidWorks, Project Management, Design, MATLAB, Blueprint Reading",6,68057,Tizi Ouzou,Engineering,Engineering,Doctorate,10274
"Python, TensorFlow, Pandas",1,79933,Biskra,Data Science,Information Technology,High School,10275
"Budgeting, Financial Analysis, Accounting, Excel, Risk Management, Investment",3,122250,Algiers,Finance,Business,Master's,10276
"Negotiation, Customer Service, CRM, Cold Calling",1,82487,Ghardaia,Sales,Business,No Formal Education,10277
"Pandas, Machine Learning, Statistics, Data Visualization, SQL, TensorFlow",2,106113,Bejaia,Data Science,Information Technology,High School,10278
"Site Management, Blueprint Reading, Masonry, Carpentry, Plumbing",7,116894,Oran,Construction,Construction,Technical Diploma,10279
"Project Management, SolidWorks, Design, AutoCAD, Blueprint Reading, MATLAB",3,65995,Bejaia,Engineering,Engineering,Master's,10280
"Budgeting, Risk Management, Investment, Excel",8,115988,Tipaza,Finance,Business,Master's,10281
"Excel, Investment, Budgeting, Risk Management, Accounting",2,115848,Bejaia,Finance,Business,Master's,10282
"Warehouse Ops, Fleet Management, Routing, Supply Chain, Inventory Management",4,63661,Relizane,Logistics,Supply Chain,High School,10283
"Litigation, Regulatory Compliance, Legal Research, Contracts, Negotiation",1,132755,Mostaganem,Legal,Legal,Ingénieur,10284
"Cold Calling, Negotiation, Lead Generation, Customer Service, Sales Forecasting",3,92363,Bejaia,Sales,Business,Bachelor's,10285
"Illustrator, 3D Modeling, Graphic Design",3,59320,M'Sila,Art & Design,Creative,High School,10286
"Phlebotomy, Medical Terminology, Anatomy, EMR, Patient Care, CPR",2,81370,Batna,Healthcare,Health,Master's,10287
"Litigation, Legal Research, Case Management, Contracts, Negotiation, Regulatory Compliance",1,80053,Mostaganem,Legal,Legal,Ingénieur,10288
"React, JavaScript, HTML, CSS",3,73608,Chlef,Web Development,Information Technology,High School,10289
"Medical Terminology, Phlebotomy, CPR",4,176015,Bejaia,Healthcare,Health,No Formal Education,10290
"Negotiation, Lead Generation, CRM, Sales Forecasting, Customer Service",4,117545,Oran,Sales,Business,Bachelor's,10291
"C++, Git, SQL, Python, REST",1,187063,Tlemcen,Software Engineering,Information Technology,Ingénieur,10292
"Negotiation, Litigation, Contracts, Regulatory Compliance",2,80305,Biskra,Legal,Legal,High School,10293
"Git, Java, Django",8,82883,Setif,Software Engineering,Information Technology,Bachelor's,10294
"E-Learning, Assessment, Curriculum Design",3,171900,Oran,Education,Education,No Formal Education,10295
"Curriculum Design, Mentoring, Assessment",3,90442,Bordj Bou Arreridj,Education,Education,Ingénieur,10296
"Customer Service, Reservation Systems, Front Desk",14,99838,Skikda,Hospitality,Tourism & Hospitality,Master's,10297
"Phlebotomy, Anatomy, CPR, Patient Care, Medical Terminology",1,56169,Relizane,Healthcare,Health,Technical Diploma,10298
"Network Security, SIEM, Firewalls, Penetration Testing",8,67351,Algiers,Cybersecurity,Information Technology,No Formal Education,10299
"Fleet Management, Inventory Management, Warehouse Ops, Supply Chain, Routing",2,83650,Algiers,Logistics,Supply Chain,Master's,10300
"Assessment, Curriculum Design, Teaching",9,105077,Chlef,Education,Education,Doctorate,10301
"Pest Control, Tractor Operation, Soil Testing, Irrigation",1,52872,Sidi Bel Abbès,Agriculture,Agriculture,Doctorate,10302
"Front Desk, Customer Service, Event Planning, Food Safety",2,166000,Mostaganem,Hospitality,Tourism & Hospitality,Ingénieur,10303
"Event Planning, Front Desk, Customer Service, Food Safety",1,69422,Chlef,Hospitality,Tourism & Hospitality,Technical Diploma,10304
"Carpentry, Safety Procedures, Plumbing, Masonry, Blueprint Reading, Site Management",1,61968,Biskra,Construction,Construction,High School,10305
"Soil Testing, Agro-tech, Irrigation",6,160772,Relizane,Agriculture,Agriculture,Bachelor's,10306
"SQL, Python, TensorFlow, Statistics, R",15,45422,M'Sila,Data Science,Information Technology,No Formal Education,10307
"Assessment, Classroom Management, E-Learning, Mentoring, Teaching",3,102330,Relizane,Education,Education,Doctorate,10308
"Mentoring, Classroom Management, Teaching, Curriculum Design",7,92012,Sidi Bel Abbès,Education,Education,Master's,10309
"Medical Terminology, CPR, Phlebotomy, Anatomy",9,83060,Ghardaia,Healthcare,Health,High School,10310
"3D Modeling, Illustrator, Creativity, Graphic Design, Photoshop",13,45421,Oran,Art & Design,Creative,Bachelor's,10311
"Analytics, Content Creation, Social Media, Branding, Google Ads, SEO",12,172355,Skikda,Marketing,Business,High School,10312
"Safety Procedures, Site Management, Plumbing",4,92894,Biskra,Construction,Construction,No Formal Education,10313
"Regulatory Compliance, Litigation, Case Management, Contracts",12,65208,Biskra,Legal,Legal,Doctorate,10314
"React, HTML, CSS, JavaScript, Node.js",4,60494,Ouargla,Web Development,Information Technology,No Formal Education,10315
"Forensics, Firewalls, Ethical Hacking, Network Security",6,59110,M'Sila,Cybersecurity,Information Technology,Ingénieur,10316
"Excel, Auditing, Investment",4,84505,Tipaza,Finance,Business,No Formal Education,10317
"EMR, Patient Care, Anatomy",5,122417,Algiers,Healthcare,Health,Technical Diploma,10318
"Classroom Management, Mentoring, E-Learning",2,121388,Oran,Education,Education,No Formal Education,10319
"Networking, Linux, Scripting, Security",7,66271,Skikda,System Administration,Information Technology,Ingénieur,10320
"Investment, Auditing, Accounting",1,129044,Annaba,Finance,Business,Ingénieur,10321
"Irrigation, Pest Control, Soil Testing, Crop Management, Tractor Operation",2,45895,Constantine,Agriculture,Agriculture,Bachelor's,10322
"Customer Service, Sales Forecasting, CRM, Lead Generation, Negotiation",6,69847,Biskra,Sales,Business,Ingénieur,10323
"SQL, C++, Spring, Django",10,80754,Chlef,Software Engineering,Information Technology,No Formal Education,10324
"Reservation Systems, Customer Service, Front Desk, Food Safety",1,86897,Skikda,Hospitality,Tourism & Hospitality,Doctorate,10325
"Lead Generation, Cold Calling, Negotiation, CRM",2,124380,Tipaza,Sales,Business,Master's,10326
"Ethical Hacking, Firewalls, Forensics, Penetration Testing",13,125621,Setif,Cybersecurity,Information Technology,Doctorate,10327
"Photoshop, UI/UX, Creativity, Illustrator, Graphic Design, 3D Modeling",1,120684,Oran,Art & Design,Creative,Ingénieur,10328
"Sales Forecasting, CRM, Negotiation, Cold Calling",12,109011,Batna,Sales,Business,High School,10329
"Mentoring, Assessment, E-Learning, Curriculum Design",1,74391,Bejaia,Education,Education,No Formal Education,10330
"Data Visualization, Pandas, TensorFlow, Python, SQL, R",14,110755,Mostaganem,Data Science,Information Technology,Master's,10331
"Soil Testing, Tractor Operation, Irrigation",2,122251,Ouargla,Agriculture,Agriculture,Doctorate,10332
"Patient Care, Anatomy, Medical Terminology, Phlebotomy, CPR",2,76896,Annaba,Healthcare,Health,Ingénieur,10333
"Google Ads, Social Media, Branding",9,183291,Bordj Bou Arreridj,Marketing,Business,Bachelor's,10334
"Negotiation, Contracts, Regulatory Compliance",3,121263,Constantine,Legal,Legal,High School,10335
"Food Safety, Front Desk, Event Planning, Customer Service",2,123397,Oran,Hospitality,Tourism & Hospitality,Bachelor's,10336
"Site Management, Blueprint Reading, Carpentry, Safety Procedures",9,58249,Ouargla,Construction,Construction,Bachelor's,10337
"SolidWorks, Blueprint Reading, Design",1,82887,Chlef,Engineering,Engineering,Master's,10338
"Django, REST, Java, Spring, C++, Git",12,70400,Biskra,Software Engineering,Information Technology,High School,10339
"Customer Service, CRM, Negotiation, Cold Calling, Lead Generation",4,56390,Biskra,Sales,Business,High School,10340
"Blueprint Reading, Plumbing, Masonry",5,126354,Ouargla,Construction,Construction,No Formal Education,10341
"Curriculum Design, Assessment, Mentoring, Classroom Management, Teaching, E-Learning",2,61873,Skikda,Education,Education,Bachelor's,10342
"Financial Analysis, Investment, Excel, Auditing, Risk Management, Accounting",1,160296,Oran,Finance,Business,Technical Diploma,10343
"3D Modeling, Creativity, Illustrator, Photoshop, Graphic Design, UI/UX",12,87710,Bordj Bou Arreridj,Art & Design,Creative,Master's,10344
"Fleet Management, Supply Chain, Warehouse Ops",8,137149,Tizi Ouzou,Logistics,Supply Chain,Master's,10345
"Negotiation, Litigation, Regulatory Compliance",1,141438,Blida,Legal,Legal,High School,10346
"WordPress, HTML, Responsive Design, Node.js, JavaScript, React",1,144846,Tlemcen,Web Development,Information Technology,Master's,10347
"CPR, Phlebotomy, Patient Care, Anatomy",2,163023,Ouargla,Healthcare,Health,High School,10348
"Git, Django, C++, Java",9,45717,Bejaia,Software Engineering,Information Technology,Ingénieur,10349
"Crop Management, Agro-tech, Irrigation, Soil Testing, Pest Control",3,118127,Bejaia,Agriculture,Agriculture,No Formal Education,10350
"Networking, Linux, Virtualization",3,89304,Chlef,System Administration,Information Technology,No Formal Education,10351
"Carpentry, Site Management, Plumbing, Masonry, Safety Procedures, Blueprint Reading",4,110658,Bejaia,Construction,Construction,High School,10352
"Machine Learning, Pandas, TensorFlow, SQL, R, Statistics",5,128686,M'Sila,Data Science,Information Technology,Bachelor's,10353
"Inventory Management, Routing, Fleet Management, Warehouse Ops",2,61876,Batna,Logistics,Supply Chain,Ingénieur,10354
"Agro-tech, Crop Management, Tractor Operation, Pest Control",7,173147,Tizi Ouzou,Agriculture,Agriculture,Ingénieur,10355
"Blueprint Reading, Plumbing, Carpentry",1,156238,Algiers,Construction,Construction,Doctorate,10356
"Patient Care, Anatomy, EMR",1,53277,Algiers,Healthcare,Health,Ingénieur,10357
"Customer Service, Reservation Systems, Event Planning",7,63652,Bejaia,Hospitality,Tourism & Hospitality,Technical Diploma,10358
"Warehouse Ops, Inventory Management, Fleet Management",11,89499,Tipaza,Logistics,Supply Chain,No Formal Education,10359
"Plumbing, Safety Procedures, Blueprint Reading, Masonry, Site Management, Carpentry",1,107862,Relizane,Construction,Construction,Technical Diploma,10360
"E-Learning, Curriculum Design, Classroom Management, Mentoring",2,60154,Blida,Education,Education,No Formal Education,10361
"Python, TensorFlow, Statistics, Machine Learning, R, SQL",2,70733,Relizane,Data Science,Information Technology,Bachelor's,10362
"Blueprint Reading, Plumbing, Site Management, Safety Procedures",15,75649,Relizane,Construction,Construction,No Formal Education,10363
"Medical Terminology, Anatomy, EMR, Patient Care, Phlebotomy",1,90101,Relizane,Healthcare,Health,Bachelor's,10364
"Ethical Hacking, Penetration Testing, SIEM, Forensics, Network Security",5,110310,Tlemcen,Cybersecurity,Information Technology,Doctorate,10365
"SolidWorks, Project Management, MATLAB, AutoCAD",12,53016,Bejaia,Engineering,Engineering,Technical Diploma,10366
"REST, Python, C++, SQL",7,81703,Oran,Software Engineering,Information Technology,No Formal Education,10367
"Pest Control, Agro-tech, Crop Management",4,92643,Tizi Ouzou,Agriculture,Agriculture,Ingénieur,10368
"Plumbing, Site Management, Safety Procedures",8,87293,Batna,Construction,Construction,Technical Diploma,10369
"Carpentry, Safety Procedures, Plumbing, Blueprint Reading, Site Management, Masonry",10,99208,Constantine,Construction,Construction,No Formal Education,10370
"Food Safety, Event Planning, Reservation Systems, Customer Service",3,93616,Ouargla,Hospitality,Tourism & Hospitality,Bachelor's,10371
"Blueprint Reading, Design, MATLAB",10,73733,Algiers,Engineering,Engineering,Doctorate,10372
"Machine Learning, R, Statistics, TensorFlow, SQL, Python",12,178265,Relizane,Data Science,Information Technology,Doctorate,10373
"Python, TensorFlow, Pandas, Machine Learning, SQL",14,115045,Ouargla,Data Science,Information Technology,Bachelor's,10374
